"","Index","Data","Fitted","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"1",2015-01-01,18497,18481.3487971038,NA,NA,NA,NA,NA
"2",2015-02-01,24190,22002.7953005986,NA,NA,NA,NA,NA
"3",2015-03-01,28972,27029.5234377904,NA,NA,NA,NA,NA
"4",2015-04-01,27141,26669.8514818685,NA,NA,NA,NA,NA
"5",2015-05-01,28479,26691.2433391362,NA,NA,NA,NA,NA
"6",2015-06-01,28889,27023.7959287156,NA,NA,NA,NA,NA
"7",2015-07-01,25515,25713.3448521206,NA,NA,NA,NA,NA
"8",2015-08-01,26680,25040.0452451125,NA,NA,NA,NA,NA
"9",2015-09-01,23458,27019.4880747949,NA,NA,NA,NA,NA
"10",2015-10-01,23854,25212.1069727013,NA,NA,NA,NA,NA
"11",2015-11-01,23773,23581.5056917231,NA,NA,NA,NA,NA
"12",2015-12-01,22399,24967.3167176614,NA,NA,NA,NA,NA
"13",2016-01-01,15906,17647.0486726743,NA,NA,NA,NA,NA
"14",2016-02-01,22940,23170.2826388015,NA,NA,NA,NA,NA
"15",2016-03-01,23716,24203.46234548,NA,NA,NA,NA,NA
"16",2016-04-01,24510,23497.1693875724,NA,NA,NA,NA,NA
"17",2016-05-01,24204,24905.7535857822,NA,NA,NA,NA,NA
"18",2016-06-01,25085,26561.9027640573,NA,NA,NA,NA,NA
"19",2016-07-01,21147,22238.5002321792,NA,NA,NA,NA,NA
"20",2016-08-01,24166,22898.2422594662,NA,NA,NA,NA,NA
"21",2016-09-01,22638,21266.0822590621,NA,NA,NA,NA,NA
"22",2016-10-01,21161,21047.1445528425,NA,NA,NA,NA,NA
"23",2016-11-01,19696,21359.7554972788,NA,NA,NA,NA,NA
"24",2016-12-01,18958,18637.3443647787,NA,NA,NA,NA,NA
"25",2017-01-01,12003,15721.1811009428,NA,NA,NA,NA,NA
"26",2017-02-01,15209,18333.3722289177,NA,NA,NA,NA,NA
"27",2017-03-01,17401,16600.4259431314,NA,NA,NA,NA,NA
"28",2017-04-01,14269,18817.3289581459,NA,NA,NA,NA,NA
"29",2017-05-01,18582,16631.5795141686,NA,NA,NA,NA,NA
"30",2017-06-01,22149,19964.8950396875,NA,NA,NA,NA,NA
"31",2017-07-01,18326,19093.8316403914,NA,NA,NA,NA,NA
"32",2017-08-01,19071,19231.8820305336,NA,NA,NA,NA,NA
"33",2017-09-01,19958,17995.0474477662,NA,NA,NA,NA,NA
"34",2017-10-01,19945,18938.0620982497,NA,NA,NA,NA,NA
"35",2017-11-01,21337,18847.0546436457,NA,NA,NA,NA,NA
"36",2017-12-01,18958,19571.1105047663,NA,NA,NA,NA,NA
"37",2018-01-01,12531,13184.174612549,NA,NA,NA,NA,NA
"38",2018-02-01,15209,13352.155904311,NA,NA,NA,NA,NA
"39",2018-03-01,17197,17704.3201090022,NA,NA,NA,NA,NA
"40",2018-04-01,17645,15320.5640217546,NA,NA,NA,NA,NA
"41",2018-05-01,20014,19414.9922654265,NA,NA,NA,NA,NA
"42",2018-06-01,18740,21086.6627803914,NA,NA,NA,NA,NA
"43",2018-07-01,17093,17036.7284704315,NA,NA,NA,NA,NA
"44",2018-08-01,19954,18279.1926317547,NA,NA,NA,NA,NA
"45",2018-09-01,18822,20127.4078534122,NA,NA,NA,NA,NA
"46",2018-10-01,19919,18666.7348214399,NA,NA,NA,NA,NA
"47",2018-11-01,18183,20051.36878906,NA,NA,NA,NA,NA
"48",2018-12-01,15500,15692.3313150504,NA,NA,NA,NA,NA
"49",2019-01-01,10653,13414.7930783072,NA,NA,NA,NA,NA
"50",2019-02-01,12736,12351.4692072305,NA,NA,NA,NA,NA
"51",2019-03-01,16087,15504.3391078969,NA,NA,NA,NA,NA
"52",2019-04-01,14088,15401.0604174173,NA,NA,NA,NA,NA
"53",2019-05-01,15200,16624.3645263389,NA,NA,NA,NA,NA
"54",2019-06-01,14846,15004.0270859752,NA,NA,NA,NA,NA
"55",2019-07-01,14474,15114.9054998805,NA,NA,NA,NA,NA
"56",2019-08-01,15186,15209.4976168128,NA,NA,NA,NA,NA
"57",2019-09-01,16382,15139.6866700517,NA,NA,NA,NA,NA
"58",2019-10-01,16988,16932.1033142712,NA,NA,NA,NA,NA
"59",2019-11-01,18452,15482.6690907966,NA,NA,NA,NA,NA
"60",2019-12-01,16098,17608.3474663867,NA,NA,NA,NA,NA
"61",2020-01-01,10251,10957.2511592972,NA,NA,NA,NA,NA
"62",2020-02-01,12459,12582.3789082061,NA,NA,NA,NA,NA
"63",2020-03-01,16666,14945.3853884235,NA,NA,NA,NA,NA
"64",2020-04-01,11005,14823.0970806685,NA,NA,NA,NA,NA
"65",2020-05-01,10328,10979.3048380503,NA,NA,NA,NA,NA
"66",2020-06-01,12045,12680.8298936272,NA,NA,NA,NA,NA
"67",2020-07-01,12456,11833.1390192166,NA,NA,NA,NA,NA
"68",2020-08-01,NA,NA,13459.8720382248,11187.1226657895,15732.6214106602,9984.00182307169,16935.742253378
"69",2020-09-01,NA,NA,14139.1475389587,11256.164463404,17022.1306145133,9730.00541152159,18548.2896663958
"70",2020-10-01,NA,NA,14123.820608244,11154.3861950282,17093.2550214598,9582.46256941742,18665.1786470706
"71",2020-11-01,NA,NA,15281.3715004012,12227.9324466708,18334.8105541315,10611.5394505637,19951.2035502386
"72",2020-12-01,NA,NA,13548.3408952891,10413.1472210002,16683.534569578,8753.47594301328,18343.205847565
"73",2021-01-01,NA,NA,10050.6368037669,6835.76686926615,13265.5067382676,5133.91752690781,14967.3560806259
"74",2021-02-01,NA,NA,11767.5216661395,8474.90294903722,15060.1403832417,6731.89588731996,16803.147444959
"75",2021-03-01,NA,NA,14180.0236492429,10811.4501623396,17548.5971361461,9028.23507427341,19331.8122242123
"76",2021-04-01,NA,NA,10985.5476134234,7542.6946312118,14428.4005956349,5720.15835354333,16250.9368733034
"77",2021-05-01,NA,NA,11138.7432570266,7623.17986297741,14654.3066510758,5762.15301832192,16515.3334957313
"78",2021-06-01,NA,NA,11685.3203733459,8098.52022585593,15272.1205208359,6199.78292184595,17170.8578248458
"79",2021-07-01,NA,NA,11990.1409187951,8333.49154833451,15646.7902892556,6397.77829923231,17582.5035383578
"80",2021-08-01,NA,NA,12390.347504167,8228.42681765906,16552.268190675,6025.23909075613,18755.455917578
"81",2021-09-01,NA,NA,12911.6311326635,8413.10951376013,17410.1527515668,6031.73601663778,19791.5262486892
"82",2021-10-01,NA,NA,12866.0628748908,8232.44238972282,17499.6833600589,5779.55187281733,19952.5738769644
"83",2021-11-01,NA,NA,13583.7556298315,8818.86519610723,18348.6460635557,6296.48456601728,20871.0266936456
"84",2021-12-01,NA,NA,12615.196955756,7722.55729088953,17507.8366206225,5132.55030283311,20097.8436086789
